timestamp,elapsed_s,temp_c,pressure_pa,altitude_m,pitch_deg,roll_deg,throttle
2026-05-23T23:42:01.869595,0.102,31.81,100883.16,0.220,1.38,1.67,1023
2026-05-23T23:42:01.945621,0.203,31.81,100883.10,0.220,1.38,1.67,1023
2026-05-23T23:42:02.073776,0.303,31.81,100883.49,0.220,1.38,1.67,1023
2026-05-23T23:42:02.156776,0.404,31.81,100883.45,0.220,1.38,1.67,1023
2026-05-23T23:42:02.261307,0.505,31.81,100884.04,0.220,1.38,1.67,1023
2026-05-23T23:42:02.357409,0.605,31.81,100883.08,0.170,1.38,1.67,1023
2026-05-23T23:42:02.453880,0.706,31.81,100883.80,0.170,1.38,1.67,1023
2026-05-23T23:42:02.573232,0.807,31.81,100883.84,0.170,1.38,1.67,1023
2026-05-23T23:42:02.670741,0.907,31.81,100883.84,0.170,1.37,1.67,1023
2026-05-23T23:42:02.769880,1.008,31.82,100883.82,0.170,1.37,1.67,1023
2026-05-23T23:42:02.891262,1.109,31.81,100883.35,0.170,1.37,1.67,1023
2026-05-23T23:42:02.966411,1.210,31.81,100883.96,0.170,1.37,1.67,1023
2026-05-23T23:42:03.051589,1.311,31.82,100884.27,0.170,1.37,1.67,1023
2026-05-23T23:42:03.182104,1.411,31.82,100884.80,0.170,1.37,1.67,1023
2026-05-23T23:42:03.265341,1.513,31.82,100885.00,0.110,1.37,1.67,1023
2026-05-23T23:42:03.350489,1.613,31.82,100884.70,0.110,1.37,1.67,1023
2026-05-23T23:42:03.465190,1.714,31.82,100883.54,0.110,1.37,1.66,1023
2026-05-23T23:42:03.574419,1.815,31.82,100883.12,0.110,1.37,1.66,1023
2026-05-23T23:42:03.663654,1.916,31.82,100883.59,0.110,1.37,1.67,1023
2026-05-23T23:42:03.775260,2.017,31.82,100883.37,0.110,1.37,1.67,1023
2026-05-23T23:42:03.932862,2.117,31.82,100884.43,0.110,1.37,1.67,1023
2026-05-23T23:42:03.980861,2.217,31.82,100883.80,0.110,1.37,1.67,1023
2026-05-23T23:42:04.056900,2.317,31.82,100883.44,0.110,1.37,1.67,1023
2026-05-23T23:42:04.184959,2.417,31.82,100882.56,0.110,1.37,1.67,1023
2026-05-23T23:42:04.285143,2.519,31.82,100882.30,0.110,1.37,1.67,1023
2026-05-23T23:42:04.387053,2.620,31.82,100882.82,0.170,1.37,1.67,1023
2026-05-23T23:42:04.481054,2.721,31.82,100882.83,0.170,1.37,1.67,1023
2026-05-23T23:42:04.577075,2.822,31.82,100882.29,0.170,1.37,1.67,1023
2026-05-23T23:42:04.704755,2.923,31.82,100882.53,0.170,1.37,1.67,1023
2026-05-23T23:42:04.808752,3.025,31.82,100883.11,0.220,1.37,1.67,1023
2026-05-23T23:42:04.889752,3.125,31.82,100883.53,0.220,1.37,1.67,1023
2026-05-23T23:42:04.988752,3.226,31.82,100883.28,0.220,1.37,1.68,1023
2026-05-23T23:42:05.100773,3.326,31.82,100883.33,0.220,1.37,1.67,1023
2026-05-23T23:42:05.200852,3.426,31.82,100883.55,0.220,1.37,1.67,1023
2026-05-23T23:42:05.325523,3.528,31.82,100883.99,0.220,1.38,1.67,1023
2026-05-23T23:42:05.431292,3.629,31.83,100884.53,0.160,1.38,1.67,1023
2026-05-23T23:42:05.501365,3.730,31.83,100884.85,0.160,1.38,1.67,1023
2026-05-23T23:42:05.591508,3.831,31.83,100884.27,0.110,1.38,1.67,1023
2026-05-23T23:42:05.701536,3.931,31.83,100884.36,0.110,1.38,1.68,1023
2026-05-23T23:42:05.790554,4.031,31.83,100883.88,0.110,1.38,1.68,1023
2026-05-23T23:42:05.893067,4.132,31.83,100883.83,0.110,1.38,1.68,1023
2026-05-23T23:42:05.992980,4.233,31.83,100884.64,0.110,1.37,1.68,1023
2026-05-23T23:42:06.085550,4.335,31.82,100882.49,0.110,1.37,1.68,1023
2026-05-23T23:42:06.201572,4.435,31.83,100882.77,0.110,1.37,1.68,1023
2026-05-23T23:42:06.338084,4.535,31.83,100883.34,0.110,1.37,1.68,1023
2026-05-23T23:42:06.373083,4.636,31.83,100882.98,0.110,1.37,1.68,1023
2026-05-23T23:42:06.497385,4.737,31.83,100883.01,0.160,1.37,1.68,1023
2026-05-23T23:42:06.669064,4.837,31.83,100882.82,0.160,1.37,1.68,1023
2026-05-23T23:42:06.728068,4.953,31.83,100883.98,0.160,1.38,1.68,1023
2026-05-23T23:42:06.812629,5.054,31.83,100884.10,0.160,1.38,1.68,1023
2026-05-23T23:42:06.910910,5.155,31.83,100881.82,0.160,1.38,1.68,1023
2026-05-23T23:42:07.022626,5.256,31.83,100882.41,0.160,1.38,1.68,1023
2026-05-23T23:42:07.110341,5.357,31.83,100883.08,0.160,1.38,1.68,1023
2026-05-23T23:42:07.203547,5.458,31.83,100883.78,0.160,1.38,1.68,1023
2026-05-23T23:42:07.310086,5.558,31.83,100882.90,0.160,1.38,1.68,1023
2026-05-23T23:42:07.410746,5.659,31.83,100882.34,0.160,1.38,1.68,1023
2026-05-23T23:42:07.520256,5.761,31.83,100882.83,0.160,1.38,1.68,1023
2026-05-23T23:42:07.615256,5.861,31.83,100882.32,0.160,1.38,1.68,1023
2026-05-23T23:42:07.724331,5.961,31.83,100882.93,0.210,1.38,1.68,1023
2026-05-23T23:42:07.816524,6.062,31.83,100883.23,0.210,1.37,1.67,1023
2026-05-23T23:42:07.920613,6.163,31.84,100883.34,0.210,1.37,1.67,1023
2026-05-23T23:42:08.031707,6.263,31.84,100883.89,0.210,1.37,1.67,1023
2026-05-23T23:42:08.112228,6.364,31.84,100883.27,0.210,1.37,1.67,1050
2026-05-23T23:42:08.217885,6.464,31.84,100882.72,0.210,1.37,1.67,1053
2026-05-23T23:42:08.328906,6.565,31.84,100882.79,0.210,1.37,1.67,1053
2026-05-23T23:42:08.430404,6.667,31.84,100883.56,0.210,1.37,1.67,1053
2026-05-23T23:42:08.528424,6.768,31.84,100883.25,0.210,1.37,1.67,1053
2026-05-23T23:42:08.641519,6.868,31.84,100883.09,0.210,1.37,1.67,1055
2026-05-23T23:42:08.739087,6.969,31.84,100883.23,0.210,1.37,1.66,1055
2026-05-23T23:42:08.836117,7.070,31.84,100882.95,0.210,1.37,1.66,1056
2026-05-23T23:42:08.919228,7.171,31.84,100883.47,0.210,1.37,1.66,1063
2026-05-23T23:42:09.032428,7.272,31.84,100883.14,0.210,1.37,1.66,1066
2026-05-23T23:42:09.117543,7.372,31.84,100883.05,0.210,1.36,1.66,1074
2026-05-23T23:42:09.212737,7.472,31.84,100883.24,0.210,1.38,1.66,1081
2026-05-23T23:42:09.320265,7.574,31.84,100882.91,0.210,1.47,1.61,1081
2026-05-23T23:42:09.423878,7.675,31.84,100882.62,0.210,1.42,1.68,1081
2026-05-23T23:42:09.530192,7.777,31.84,100882.51,0.210,1.36,1.75,1081
2026-05-23T23:42:09.626314,7.877,31.83,100881.55,0.210,1.40,1.79,1081
2026-05-23T23:42:09.730485,7.978,31.83,100881.56,0.210,1.31,1.81,1081
2026-05-23T23:42:09.825994,8.078,31.82,100881.41,0.210,1.28,1.81,1081
2026-05-23T23:42:09.942062,8.179,31.81,100880.93,0.260,1.26,1.83,1081
2026-05-23T23:42:10.028062,8.280,31.81,100881.30,0.260,1.21,1.92,1081
2026-05-23T23:42:10.137088,8.380,31.81,100883.07,0.310,1.22,1.89,1081
2026-05-23T23:42:10.230132,8.481,31.80,100883.68,0.310,1.21,1.89,1081
2026-05-23T23:42:10.350667,8.583,31.80,100883.96,0.260,1.23,1.87,1083
2026-05-23T23:42:10.429761,8.684,31.80,100883.71,0.210,1.24,1.93,1083
2026-05-23T23:42:10.536270,8.786,31.80,100883.78,0.210,1.20,1.95,1083
2026-05-23T23:42:10.653292,8.886,31.79,100883.69,0.210,1.18,1.89,1091
2026-05-23T23:42:10.726349,8.986,31.79,100883.99,0.160,1.17,1.93,1093
2026-05-23T23:42:10.842369,9.086,31.79,100883.55,0.160,1.15,1.91,1096
2026-05-23T23:42:10.937369,9.187,31.78,100883.45,0.160,1.13,1.97,1098
2026-05-23T23:42:11.043063,9.287,31.78,100883.01,0.160,1.09,1.91,1098
2026-05-23T23:42:11.138714,9.388,31.77,100883.30,0.160,1.09,1.86,1098
2026-05-23T23:42:11.245285,9.489,31.77,100882.83,0.160,1.08,1.88,1098
2026-05-23T23:42:11.351646,9.590,31.76,100882.88,0.160,1.15,1.89,1098
2026-05-23T23:42:11.456663,9.691,31.76,100883.38,0.160,1.12,1.80,1101
2026-05-23T23:42:11.540662,9.791,31.76,100883.51,0.160,1.16,1.64,1101
2026-05-23T23:42:11.640207,9.892,31.75,100883.12,0.160,1.18,1.56,1108
2026-05-23T23:42:11.757433,9.992,31.75,100883.42,0.160,1.20,1.45,1111
2026-05-23T23:42:11.848432,10.092,31.75,100884.24,0.160,1.19,1.45,1111
2026-05-23T23:42:11.949432,10.193,31.75,100884.85,0.160,1.24,1.58,1113
2026-05-23T23:42:12.045125,10.293,31.75,100883.92,0.160,1.14,1.58,1113
2026-05-23T23:42:12.149475,10.395,31.75,100883.98,0.110,1.08,1.36,1113
2026-05-23T23:42:12.253518,10.496,31.74,100883.59,0.110,0.83,1.38,1113
2026-05-23T23:42:12.348677,10.596,31.74,100883.07,0.110,0.83,1.22,1118
2026-05-23T23:42:12.464508,10.698,31.74,100883.33,0.110,0.75,1.27,1118
2026-05-23T23:42:12.566166,10.799,31.73,100882.78,0.110,0.76,1.33,1123
2026-05-23T23:42:12.702185,10.900,31.73,100883.11,0.160,0.68,1.32,1126
2026-05-23T23:42:12.757695,11.000,31.72,100883.51,0.160,0.65,1.26,1126
2026-05-23T23:42:12.852071,11.100,31.72,100883.46,0.160,0.61,1.20,1128
2026-05-23T23:42:12.966092,11.201,31.72,100882.64,0.160,0.54,1.33,1134
2026-05-23T23:42:13.087601,11.302,31.72,100883.55,0.160,0.43,1.27,1136
2026-05-23T23:42:13.161059,11.402,31.71,100884.77,0.160,0.06,1.20,1136
2026-05-23T23:42:13.261244,11.503,31.71,100884.06,0.160,-0.27,0.97,1136
2026-05-23T23:42:13.356113,11.603,31.70,100883.27,0.160,-0.36,0.89,1136
2026-05-23T23:42:13.463371,11.705,31.70,100884.09,0.160,-0.31,0.94,1136
2026-05-23T23:42:13.557371,11.806,31.70,100883.84,0.160,-0.22,0.87,1138
2026-05-23T23:42:13.663899,11.906,31.70,100883.23,0.160,-0.13,0.90,1141
2026-05-23T23:42:13.760521,12.007,31.70,100883.59,0.160,-0.06,0.99,1146
2026-05-23T23:42:13.865770,12.107,31.69,100883.60,0.160,0.06,1.09,1148
2026-05-23T23:42:13.961279,12.208,31.69,100884.22,0.160,0.07,1.18,1148
2026-05-23T23:42:14.064788,12.309,31.69,100884.32,0.160,0.25,1.24,1151
2026-05-23T23:42:14.160862,12.409,31.68,100884.20,0.160,0.18,1.21,1153
2026-05-23T23:42:14.253327,12.511,31.68,100883.48,0.160,0.16,1.27,1154
2026-05-23T23:42:14.366130,12.611,31.68,100883.74,0.160,0.15,1.51,1154
2026-05-23T23:42:14.463737,12.713,31.67,100884.18,0.160,0.00,1.44,1154
2026-05-23T23:42:14.590939,12.813,31.67,100884.30,0.160,0.02,1.41,1153
2026-05-23T23:42:14.664941,12.915,31.67,100886.15,0.110,-0.05,1.52,1153
2026-05-23T23:42:14.761206,13.017,31.67,100885.90,0.110,0.28,1.51,1153
2026-05-23T23:42:14.885476,13.118,31.66,100885.69,0.060,0.36,1.22,1154
2026-05-23T23:42:14.979225,13.220,31.66,100885.33,0.060,0.28,1.52,1154
2026-05-23T23:42:15.073225,13.322,31.65,100885.62,0.060,0.39,1.54,1158
2026-05-23T23:42:15.190755,13.422,31.65,100886.40,0.010,0.28,2.13,1161
2026-05-23T23:42:15.285310,13.523,31.65,100886.26,0.010,0.40,2.19,1161
2026-05-23T23:42:15.380740,13.623,31.64,100886.45,0.010,0.65,2.18,1163
2026-05-23T23:42:15.488942,13.724,31.63,100885.43,-0.040,0.60,2.06,1164
2026-05-23T23:42:15.576428,13.826,31.63,100884.17,-0.040,0.78,1.97,1164
